The sunset over the ocean was so ________ that everyone stopped to take pictures.,1,0,0,"Think of the word ""full"" at the end of a word that means pretty or lovely."
She wore her lucky socks to the game __________ she believed they would help her team win.,1,0,0,"Use a common conjunction, ""be"" plus a phrase that sounds like ""cause."""
He hoped to __________ a doctor someday to help people.,1,0,0,"Start with ""be"" and add the root that means ""to come into."""
I need to finish my homework __________ dinner.,1,0,0,"Think of ""be"" and then the word that means ""in front of."""
The meeting __________ as soon as everyone arrived.,1,0,0,"It starts with ""be"" and uses the past tense ending for simple actions."
"The cat hid __________ the couch, away from the noisy vacuum cleaner.",1,0,0,"Start with ""be"" and add what’s not in front but on the opposite side."
"Even though it was hard, he chose to __________ in magic.",1,0,0,"Break it into ""be"" and the word that means to trust or accept as true."
Riding a __________ is one of his favorite activities on a sunny day.,1,0,0,"It starts with ""bi-"" which means two, and ends with something you ride."
Take a deep __________ and try to relax.,1,0,0,This word sounds like a single unit of air.
"When you're running around and playing, remember to __________ slowly and deeply.",1,0,0,"Similar to the word above but ends in ""-e,"" making the pronunciation longer."
They plan to __________ a new playground at the park.,1,0,0,"It sounds like ""built"" but with a different ending."
She was too __________ with work to join us for lunch.,1,0,0,"Sounds like ""biz-"" and means not free."
He opened his own __________ selling handmade crafts.,1,0,0,"It’s like ""busy"" but refers to work and ends with ""-ness."""
She __________ a new book to read during the weekend.,1,0,0,"The past tense of buy, sounds like ""bot."""
He and his __________ often played basketball together after school.,1,0,0,"It starts with ""bro"" and means a male sibling."
She __________ cupcakes to school for her birthday celebration.,1,0,0,"Sounds like ""brot"" and means to have carried something here."
It's not safe to __________ the rules during the game.,1,0,0,"Sounds like ""brake,"" used to stop a car, but means a pause or a gap."
The vase fell off the shelf and was __________.,1,0,0,"Past tense of ""break,"" sounds like it's not whole anymore."
The stars were especially __________ last night.,1,0,0,"This word shines and starts with ""bri."""
The treasure was __________ under an old oak tree.,1,0,0,"Think of ""bury"" but in the past, sounds like ""berry."""
The __________ helps her keep track of her homework and test dates.,1,0,0,"Starts with ""cal,"" and helps you know dates."
He __________ the ball before it could hit the window.,1,0,0,"The past tense of ""catch,"" sounds like ""cot."""
Stand in the __________ of the room for the group photo.,1,0,0,This is the UK spelling for the middle of something.
Innovations of the 20th __________ transformed the world.,1,0,0,"Sounds like ""sent"" plus a time period of 100 years."
I'm __________ we've met before; your face looks familiar.,1,0,0,"Sounds like ""sir"" plus ""tain,"" and means sure."
Draw a __________ around the word you think is the most important.,1,0,0,"Round shape starting with ""cir."""
"After many tries, she finally __________ the puzzle.",1,0,0,"Begins with ""com"" and means finished or whole."
It's good to __________ all options before making a decision.,1,0,0,"Starts with ""con,"" means to think carefully."
"If you fall off the bike, it's important to __________ trying.",1,0,0,"Starts with ""con,"" means to keep doing something."
It took her a moment to __________ to go to the park instead of the cinema.,1,0,0,"Starts with ""de"" and means to make a choice."
Can you __________ what the weather was like on your birthday?,1,0,0,"Think of the word ""scribe"" when you write this word; it starts with ""de"" and ends with ""be."""
Snowflakes are __________; no two are exactly the same.,1,0,0,"This word has two ""f""s and two ""e""s."
"Climbing the tall mountain was __________, but they managed to reach the top.",1,0,0,"It begins with ""diff"" like ""different"" but ends with a word that means not easy."
The magician made the coin __________ from his hand.,1,0,0,"Starts like the previous word but ends like ""disappear"" without the ""s."""
